As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$8144961.08,$0.00,$8144961.08,ACTN
09/12/2012,DRCR,TF070992,Multi Donor Trust Fund for emergency support to Ex-Combatants in the Democratic Republic of Congo,BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2009,$2588192.66,$0.00,$2588192.66,LCLS
09/12/2012,DRCR,TF070992,Multi Donor Trust Fund for emergency support to Ex-Combatants in the Democratic Republic of Congo,DE,Germany,Germany-Deutsche Gesellschaft Fur Internationale Zusammenarbeit (GIZ),2009,$884307.33,$0.00,$884307.33,LCLS
09/12/2012,DRCR,TF070992,Multi Donor Trust Fund for emergency support to Ex-Combatants in the Democratic Republic of Congo,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$2079520.88,$0.00,$2079520.88,LCLS
09/12/2012,AFRPRE,TF070758,Multi Donor Trust Fund for Ethiopia Public Sector Capacity Building Program Support Facility,IT,Italy,Italy - Ministry of Foreign Affairs,2009,$126695.00,$0.00,$126695.00,ACTN
09/12/2012,GGFR,TF050954,Multi Donor Trust Fund for Financing of the Global Gas Flaring Reduction Partnership,AZ,Azerbaijan,State Oil Company of Azerbaijan Republic (SOCAR),2009,$50000.00,$0.00,$50000.00,ACTN
09/12/2012,GGFR,TF050954,Multi Donor Trust Fund for Financing of the Global Gas Flaring Reduction Partnership,QA,Qatar,QATAR PETROLEUM,2009,$350000.00,$0.00,$350000.00,ACTN
09/12/2012,GGFR,TF050954,Multi Donor Trust Fund for Financing of the Global Gas Flaring Reduction Partnership,US,United States,United States - Department of Energy,2009,$351000.00,$0.00,$351000.00,ACTN
09/12/2012,FDTF,TF071295,Multi Donor Trust Fund for Forced Displacement,DK,Denmark,Denmark  - Royal Ministry of Foreign Affairs,2009,$1124532.29,$0.00,$1124532.29,ACTN
09/12/2012,HRH,TF070346,Multi Donor Trust Fund for Human Resources for Health Capacity Building,NO,Norway,Norway - Ministry of Foreign Affairs,2009,$2392723.85,$0.00,$2392723.85,ACTN
09/12/2012,FS-7PE,TF071171,Multi Donor Trust Fund for Justice Sector Support in the Republic of Serbia.,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2009,$559520.00,$0.00,$559520.00,LCLS
09/12/2012,FS-7PE,TF071171,Multi Donor Trust Fund for Justice Sector Support in the Republic of Serbia.,DK,Denmark,Denmark  - Royal Ministry of Foreign Affairs,2009,$450639.00,$0.00,$450639.00,LCLS
09/12/2012,FS-7PE,TF071171,Multi Donor Trust Fund for Justice Sector Support in the Republic of Serbia.,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$911090.00,$0.00,$911090.00,LCLS
09/12/2012,FS-7PE,TF071171,Multi Donor Trust Fund for Justice Sector Support in the Republic of Serbia.,NO,Norway,Norway - Ministry of Foreign Affairs,2009,$224432.02,$0.00,$224432.02,LCLS
09/12/2012,FS-7PE,TF071171,Multi Donor Trust Fund for Justice Sector Support in the Republic of Serbia.,SI,Slovenia,Slovenia-Ministry of Finance,2009,$145320.00,$0.00,$145320.00,LCLS
09/12/2012,SPTF,TF055155,Multi Donor Trust Fund for Land Policies for Growth and Poverty Reduction,X3,International and Intergovernmental Organizations,,2009,$274342.59,$0.00,$274342.59,ACTN
09/12/2012,FIRST,TF070711,Multi Donor Trust Fund for Low-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),CH,Switzerland,Swiss State Secretariat for Economic Affairs (SECO),2009,$8387.16,$0.00,$8387.16,ACTN
09/12/2012,FIRST,TF070711,Multi Donor Trust Fund for Low-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$24178.83,$0.00,$24178.83,ACTN
09/12/2012,FIRST,TF070711,Multi Donor Trust Fund for Low-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$10062.57,$0.00,$10062.57,ACTN
09/12/2012,FIRST,TF070711,Multi Donor Trust Fund for Low-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$5604132.91,$0.00,$5604132.91,ACTN
09/12/2012,FIRST,TF070723,Multi Donor Trust Fund for Middle-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),CA,Canada,Canadian International Development  Agency (CIDA),2009,$13633.88,$0.00,$13633.88,ACTN
09/12/2012,FIRST,TF070723,Multi Donor Trust Fund for Middle-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),CH,Switzerland,Swiss State Secretariat for Economic Affairs (SECO),2009,$7115.99,$0.00,$7115.99,ACTN
09/12/2012,FIRST,TF070723,Multi Donor Trust Fund for Middle-Income Countries for the Financial Sector Reform and Strengthening Initiative (FIRST),GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$13168.89,$0.00,$13168.89,ACTN
09/12/2012,FS-SP,TF070761,Multi Donor Trust Fund for Migration and Remittances for Development in Africa,FR,France,FRENCH MINISTRY OF IMMIGRATION AND NATIONAL IDENTITY,2009,$484275.00,$0.00,$484275.00,ACTN
09/12/2012,FS-SP,TF070761,Multi Donor Trust Fund for Migration and Remittances for Development in Africa,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$249970.00,$0.00,$249970.00,ACTN
09/12/2012,PNOWB,TF070818,Multi Donor Trust Fund for Parliamentarians for Development,FR,France,"France - Ministry of Economy, Finance and Industry",2009,$114362.68,$0.00,$114362.68,ACTN
